,status,x_marst,x_occup08,x_diplom,x_age,region,xh5,xj1,xj4.1,xj13.2
2019,Город,Никогда в браке не состояли,,законченное среднее специальное образование,18.0,"Тамбовская область, Уварово и Уваровский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2020,Село,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное среднее специальное образование,52.0,"Волгоградская область, Руднянский район",ЖЕНСКИЙ,Вы сейчас работаете,ОБРАЗОВАНИЕ,19000.0
2021,Село,Состоите в зарегистрированном браке,"квалифицированные рабочие, занятые ручным трудом",незаконченное среднее образование (7 - 8 кл),57.0,"Волгоградская область, Руднянский район",МУЖСКОЙ,Вы сейчас работаете,ОБРАЗОВАНИЕ,5800.0
2022,Село,"Живете вместе, но не зарегистрированы",,незаконченное среднее образование (7 - 8 кл) + что-то еще,49.0,"Волгоградская область, Руднянский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2023,Село,Никогда в браке не состояли,,незаконченное среднее образование (7 - 8 кл) + что-то еще,18.0,"Волгоградская область, Руднянский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2024,Областной центр,Разведены и в браке не состоите,работники сферы торговли и услуг,законченное среднее образование,44.0,Казань,ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",15000.0
2025,Областной центр,Никогда в браке не состояли,,незаконченное среднее образование (7 - 8 кл) + что-то еще,18.0,Казань,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2026,Областной центр,Разведены и в браке не состоите,,законченное среднее образование,48.0,Курган,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2027,Областной центр,Никогда в браке не состояли,специалисты среднего уровня квалификации; чиновники,незаконченное среднее образование (7 - 8 кл) + что-то еще,29.0,Курган,ЖЕНСКИЙ,Вы сейчас работаете,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,20000.0
2028,Областной центр,Разведены и в браке не состоите,,законченное среднее образование,49.0,Курган,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2029,Город,"Живете вместе, но не зарегистрированы","квалифицированные рабочие, занятые ручным трудом",законченное среднее специальное образование,60.0,"Оренбургская область, Орск",МУЖСКОЙ,Вы сейчас работаете,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,17000.0
